model_id,display_name,billing_type,base_input,base_output,raw_price_lines,page_number
chatgpt-4o-latest,chatgpt-4o-latest,按量计费,18.75,56.25,输入 ¥18.7500/M || 输出 ¥56.2500/M,4
claude-haiku-4-5,claude-haiku-4-5,按量计费,60,300,输入 ¥60.0000/M || 输出 ¥300.0000/M,4
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,按量计费,0.49,2.45,输入 ¥0.4900/M || 输出 ¥2.4500/M,4
claude-opus-4-1-20250805,claude-opus-4-1-20250805,按量计费,25.5,127.5,输入 ¥25.5000/M || 输出 ¥127.5000/M,4
claude-opus-4-20250514,claude-opus-4-20250514,按量计费,10.5,52.5,输入 ¥10.5000/M || 输出 ¥52.5000/M,4
claude-opus-4-5-20251101,claude-opus-4-5-20251101,按量计费,2.45,12.25,输入 ¥2.4500/M || 输出 ¥12.2500/M,4
claude-opus-4-6,claude-opus-4-6,按量计费,2.45,12.25,输入 ¥2.4500/M || 输出 ¥12.2500/M,4
claude-opus-4-6-fast,claude-opus-4-6-fast,按量计费,60,300,输入 ¥60.0000/M || 输出 ¥300.0000/M,4
claude-opus-4-7,claude-opus-4-7,按量计费,9.8,49,输入 ¥9.8000/M || 输出 ¥49.0000/M,4
claude-sonnet-4-20250514,claude-sonnet-4-20250514,按量计费,25.5,127.5,输入 ¥25.5000/M || 输出 ¥127.5000/M,4
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,按量计费,1.75,8.75,输入 ¥1.7500/M || 输出 ¥8.7500/M,4
claude-sonnet-4-6,claude-sonnet-4-6,按量计费,1.47,7.35,输入 ¥1.4700/M || 输出 ¥7.3500/M,4
gemini-2.0-flash,gemini-2.0-flash,按量计费,0.165,0.66,输入 ¥0.1650/M || 输出 ¥0.6600/M,4
gemini-2.0-flash-001,gemini-2.0-flash-001,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,4
gemini-2.0-flash-exp,gemini-2.0-flash-exp,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,4
gemini-2.0-flash-lite,gemini-2.0-flash-lite,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,4
gemini-2.0-flash-lite-preview-02-05,gemini-2.0-flash-lite-preview-02-05,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,5
gemini-2.0-flash-thinking-exp,gemini-2.0-flash-thinking-exp,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,5
gemini-2.0-flash-thinking-exp-01-21,gemini-2.0-flash-thinking-exp-01-21,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,5
gemini-2.0-flash-thinking-exp-1219,gemini-2.0-flash-thinking-exp-1219,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,5
gemini-2.5-flash,gemini-2.5-flash,按量计费,0.495,4.125,输入 ¥0.4950/M || 输出 ¥4.1250/M,5
gemini-2.5-flash-image,gemini-2.5-flash-image,按量计费,123.75,1031.25,输入 ¥123.7500/M || 输出 ¥1031.2500/M,5
gemini-2.5-flash-image-preview,gemini-2.5-flash-image-preview,按量计费,123.75,1031.25,输入 ¥123.7500/M || 输出 ¥1031.2500/M,5
gemini-2.5-flash-lite,gemini-2.5-flash-lite,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,5
gemini-2.5-flash-lite-preview-09-2025,gemini-2.5-flash-lite-preview-09-2025,按量计费,123.75,495,输入 ¥123.7500/M || 输出 ¥495.0000/M,5
gemini-2.5-flash-preview-04-17,gemini-2.5-flash-preview-04-17,按量计费,123.75,2887.5,输入 ¥123.7500/M || 输出 ¥2887.5000/M,5
